AMPLASAMENT,NR. LOCURI,LOCALIZARE AMPLASAMENT,ORAS, PRET 
GRIGORE ALEXANDRESCU,41,"STR. GRIGORE ALEXANDRESCU, INTRE CALEA VICTORIEI SI BD. LASCAR CATARGIU",București, 5.00 lei 
GRIGORE ALEXANDRESCU 2,216,INTRE BD. LASCAR CATARGIU SI CALEA DOROBANTI,București, 5.00 lei 
GRIGORE COBALCESCU,118,INTRE BD. SCHITU MAGUREANU SI STR. BERZEI,București, 5.00 lei 
GUTENBERG,82,,București, 2.50 lei 
HALELOR,15,"STR. HALELOR, INTRE STR. SELARI SI STR. CALDARARI",București, 10.00 lei 
HERASTRAU 1 (PAVILION H),99,PARC HERASTRAU,București, 5.00 lei 
HERASTRAU 2 BOA,132,PARC MIORITA (HERASTRAU),București, 5.00 lei 
HOROSCOP 1,14,BD. D. CANTEMIR - INTRE SPLAIUL UNIRII SI STR. BIBESCU VODA,București, 5.00 lei 
HOROSCOP 2 SITRACO,11,BD. D. CANTEMIR - INTRE SPLAIUL UNIRII SI STR. BIBESCU VODA,București, 5.00 lei 
HOROSCOP 3 SPLAI,24,BD. D. CANTEMIR - SPLAIUL UNIRII,București, 5.00 lei 
HRISTO BOTEV 1,20,INTRE STR. SCAUNE SI STR. IVO ANDRIC,București, 5.00 lei 
HRISTO BOTEV 2,25,INTRE STR. NEGUSTORI SI STR. TEODOR STEFANESCU,București, 5.00 lei 
IACOB FELIX 1,91,INTRE STR. GHE. POLIZU SI SOS. N. TITULESCU,București, 2.50 lei 
IACOB FELIX 2,33,INTRE SOS. N. TITULESCU SI BD. I. MIHALACHE,București, 2.50 lei 
IANCU DE HUNEDOARA 1,36,INTRE BD. LASCAR CATARGIU SI INTR. GENEVA,București, 5.00 lei 
IANCU DE HUNEDOARA 2,12,INTRE INTR. GENEVA SI STR. CLOPOTARII VECHI,București, 5.00 lei 
ION BREZOIANU,47,INTRE BD. REGINA ELISABETA SI INTR. RIGAS,București, 5.00 lei 
ION BREZOIANU 2,19,INTRE LIPSCANI SI DOMNITA ANASTASIA,București, 5.00 lei 
ION BREZOIANU 3,52,INTRE WALTER MARACINEANU SI POIANA NARCISELOR,București, 5.00 lei 
ION CAMPINEANU,73,INTRE CALEA VICTORIEI SI BD. N. BALCESCU,București, 10.00 lei 
ION CAMPINEANU (SUPERB),45,INTRE STR. STIRBEI VODA SI STR. W. MARACINEANU,București, 5.00 lei 
ION CAMPINEANU 1,57,INTRE W.MARACINEANU SI CALEA VICTORIEI,București, 5.00 lei 
ION GHICA,24,INTRE I.C.BRATIANU SI DOAMNEI,București, 10.00 lei 
JEAN LOUIS CALDERON 1,46,INTRE ITALIANA SI C.A.ROSETTI,București, 10.00 lei 
JEAN LOUIS CALDERON 2,18,INTRE C.A.ROSETTI SI ITALIANA,București, 10.00 lei 
JEAN LOUIS CALDERON 3,49,INTRE ICOANEI SI PTA CANTACUZINO,București, 10.00 lei 
KISELEFF ALVEOLA,84,INTRE MONETARIEI SI ION MINCU,București, 5.00 lei 
LASCAR CATARGIU – HOTEL MINERVA,15,INTRE STR. H. COANDA SI STR. G-RAL GHE. MANU,București, 5.00 lei 
LIBERTATII,44,"INTRE BD. NATIUNILE UNITE SI SPLAIUL INDEPENDENTEI, PE PARTE ADIACENTA PARCULUI",București, 5.00 lei 
LIDO,11,INTRE STR. ANASTASIE SINU SI STR. B. FRANKLIN,București, 5.00 lei 
LIDO TERASA,60,INTRE CALEA VICTORIEI SI BD. MAGHERU,București, 5.00 lei 
LIPSCANI 1,27,INTRE STR. A.SALIGNY SI STR. I.BREZOIANU,București, 5.00 lei 
LIPSCANI 2,30,INTRE BD. I.C. BRATIANU SI CALEA MOSILOR,București, 5.00 lei 
LUTERANA,53,INTRE STR. STIRBEI VODA SI STR. G-RAL BERTHELOT,București, 5.00 lei 
MAGAZIN VICTORIA,29,MAGAZIN VICTORIA,București, 5.00 lei 
MARIA ROSETTI,62,INTRE STR ION LUCA CARAGIALE SI STR. SF SPIRIDON,București, 5.00 lei 
MARRIOTT,43,ZONA PTA. ARSENALULUI,București, 5.00 lei 
MATEI BASARAB 1,31,INTRE STR. MIRCEA VODA SI BD. CORNELIU COPOSU,București, 10.00 lei 
MATEI MILLO,55,INTRE CALEA VICTORIEI SI STR. G. VRACA,București, 5.00 lei 
MENDELEEV,113,"STR. MENDELEEV, INTRE STR. G. ENESCU SI PTA. ROMANA",București, 5.00 lei 
MINISTERUL MEDIULUI,20,BD. LIBERTATII,București, 5.00 lei 
MIRCEA VODA,319,BD C. COPOSU - NERVA TRAIAN,București, 5.00 lei 
"BD. MIRCEA VODA, HOTEL MERCURE",20,,București, 5.00 lei 
"BD. MIRCEA VODA, TIMPURI NOI",29,INTERSECTIE BD. MIRCEA VODA SI STR. NERVA TRAIAN - PARC TIMPURI NOI,București, 5.00 lei 
MIRCEA VULCANESCU,80,INTRE STR. D.GOLESCU SI CALEA PLEVNEI,București, 5.00 lei 
MIRCEA VULCANESCU 1,88,INTRE CALEA GRIVITEI SI STR. HORATIU,București, 5.00 lei 
NATIUNILE UNITE,29,INTRE PTA. NATIUNILE UNITE SI STR. SF. APOSTOLI,București, 10.00 lei 
NERVA TRAIAN,35,,București, 5.00 lei 
NICOLAE BALCESCU 1,44,INTRE STR. DEM. I. DOBRESCU SI STR. I. CAMPINEANU,București, 10.00 lei 
NICOLAE BALCESCU 2,24,INTRE STR. C.A. ROSETTI SI STR. DEM. I. DOBRESCU,București, 10.00 lei 
NICOLAE CARAMFIL,156,BD. NICOLAE CARANFIL,București, 10.00 lei 
NICOLAE FILIPESCU,98,INTRE STR. C.A. ROSETTI SI STR. BATISTEI,București, 10.00 lei 
